Species;AR;FA;PA;SA;AN;MA;LA;RU;AP;ZY;RO;HE
Papilio_laglaizei;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_lamarchei;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_liomedon;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_lormieri;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_lorquinianus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_maackii;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_machaon;0;0;0;0;0;0;0;0;1;0;0;0
Papilio_machaonides;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_macilentus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_mahadeva;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_maraho;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_melonius;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_memnon;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_menatius;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_meriones;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_montrouzieri;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_morondavana;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_multicaudata;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_nephelus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_neumoegeni;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_neyi;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_nireus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_nobilis;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_noblei;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_oenomaus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_oregonius;0;0;0;0;0;0;0;0;1;0;0;0
Papilio_oribazus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_ornythion;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_osmana;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_oviedo;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_oxynius;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_paeon;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_palamedes;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_palinurus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_pallas;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_paradoxa;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_paris1;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_paris2;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_paris3;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_pelaus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_peranthus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_pericles;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_pharnaces;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_phorcas;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_pilumnus;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_pitmani;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_polyctor;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_polymnestor;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_polytes;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_polyxenes;0;0;0;0;0;0;0;0;1;0;0;0
Papilio_prexaspes;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_protenor;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_rex;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_rogeri;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_rumanzovia;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_rumiko;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_rutulus;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_scamander;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_slateri;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_syfanius;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_thaiwanus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_thersites;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_thoas;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_torquatus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_troilus;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_tydeus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_ulysses1;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_ulysses2;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_ulysses3;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_veiovis;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_victorinus;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_warscewiczii;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_xuthus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_zagreus;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_zalmoxis;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_zelicaon;0;0;0;0;0;0;0;0;1;0;0;0
Parides_aeneas;1;0;0;0;0;0;0;0;0;0;0;0
Parides_agavus;1;0;0;0;0;0;0;0;0;0;0;0
Parides_anchises;1;0;0;0;0;0;0;0;0;0;0;0
Parides_ascanius;1;0;0;0;0;0;0;0;0;0;0;0
Parides_bunichus;1;0;0;0;0;0;0;0;0;0;0;0
Parides_burchellanus;1;0;0;0;0;0;0;0;0;0;0;0
Parides_chabrias;1;0;0;0;0;0;0;0;0;0;0;0
Parides_childrenae;1;0;0;0;0;0;0;0;0;0;0;0
Parides_erithalion;1;0;0;0;0;0;0;0;0;0;0;0
Parides_eurimedes;1;0;0;0;0;0;0;0;0;0;0;0
Parides_hahneli;1;0;0;0;0;0;0;0;0;0;0;0
Parides_iphidamas;1;0;0;0;0;0;0;0;0;0;0;0
Parides_lysander;1;0;0;0;0;0;0;0;0;0;0;0
Parides_montezuma;1;0;0;0;0;0;0;0;0;0;0;0
Parides_neophilus;1;0;0;0;0;0;0;0;0;0;0;0
Parides_panares;1;0;0;0;0;0;0;0;0;0;0;0
Parides_panthonus;1;0;0;0;0;0;0;0;0;0;0;0
Parides_photinus;1;0;0;0;0;0;0;0;0;0;0;0
Parides_proneus;1;0;0;0;0;0;0;0;0;0;0;0
Parides_sesostris;1;0;0;0;0;0;0;0;0;0;0;0
Parides_tros;1;0;0;0;0;0;0;0;0;0;0;0
Parides_vertumnus;1;0;0;0;0;0;0;0;0;0;0;0
Parides_zacynthus;1;0;0;0;0;0;0;0;0;0;0;0
Parnassius_acco;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_acdestis;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_actius;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_andreji;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_apollo1;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_apollo2;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_apollo3;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_apollo4;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_apollo5;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_apollonius;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_arctica;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_ariadne;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_augustus;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_autocrator;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_behrii;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_boedromius;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_bremeri;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_cardinal;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_cephalus;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_charltonius;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_clodius;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_davydovi;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_delphius;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_dongalaicus;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_epaphus;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_eversmanni;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_glacialis;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_hannyngtoni;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_hardwickii;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_hide;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_hoenei;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_honrathi;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_huberi;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_imperator;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_inopinatus;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_jacobsoni;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_jacquemontii;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_loxias;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_maharaja;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_maximinus;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_mercurius;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_mnemosyne1;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_mnemosyne2;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_mnemosyne3;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_nomion;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_nordmanni;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_orleans;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_patricius;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_phoebus;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_sacerdos;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_schultei;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_simo;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_simonius;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_smintheus;0;0;0;1;0;0;0;0;0;0;0;0
Parnassius_staudingeri1;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_staudingeri2;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_staudingeri3;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_stenosemus;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_stoliczkanus;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_stubbendorfii;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_szechenyii;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_tenedius;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_tianschanicus;0;0;0;1;0;0;0;0;0;0;0;0
Pharmacophagus_antenor;1;0;0;0;0;0;0;0;0;0;0;0
Protesilaus_glaucolaus;0;0;0;0;1;0;0;0;0;0;0;0
Protesilaus_helios;0;0;0;0;1;0;0;0;0;0;0;0
Protesilaus_molops;0;0;0;0;1;0;0;0;0;0;0;0
Protesilaus_protesilaus;0;0;0;0;1;0;0;0;0;0;0;0
Protesilaus_telesilaus;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_asius;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_dioxippus;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_epidaus;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_leosthenes;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_leucaspis;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_marcellus;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_philolaus;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_thyastes;0;0;0;0;1;0;0;0;0;0;0;0
Sericinus_montela;1;0;0;0;0;0;0;0;0;0;0;0
Teinopalpus_aureus;0;0;0;0;0;1;0;0;0;0;0;0
Teinopalpus_imperialis;0;0;0;0;0;1;0;0;0;0;0;0
Trogonoptera_brookiana;1;0;0;0;0;0;0;0;0;0;0;0
Trogonoptera_trojana;1;0;0;0;0;0;0;0;0;0;0;0
Troides_aeacus;1;0;0;0;0;0;0;0;0;0;0;0
Troides_amphrysus;1;0;0;0;0;0;0;0;0;0;0;0
Troides_andromache;1;0;0;0;0;0;0;0;0;0;0;0
Troides_criton;1;0;0;0;0;0;0;0;0;0;0;0
Troides_cuneifera;1;0;0;0;0;0;0;0;0;0;0;0
Troides_haliphron;1;0;0;0;0;0;0;0;0;0;0;0
Troides_helena;1;0;0;0;0;0;0;0;0;0;0;0
Troides_hypolitus;1;0;0;0;0;0;0;0;0;0;0;0
Troides_magellanus;1;0;0;0;0;0;0;0;0;0;0;0
Troides_minos;1;0;0;0;0;0;0;0;0;0;0;0
Troides_miranda;1;0;0;0;0;0;0;0;0;0;0;0
Troides_naias;1;0;0;0;0;0;0;0;0;0;0;0
Troides_oblongomaculatus;1;0;0;0;0;0;0;0;0;0;0;0
Troides_plato;1;0;0;0;0;0;0;0;0;0;0;0
Troides_prattorum;1;0;0;0;0;0;0;0;0;0;0;0
Troides_rhadamantus;1;0;0;0;0;0;0;0;0;0;0;0
Troides_riedeli;1;0;0;0;0;0;0;0;0;0;0;0
Troides_staudingeri;1;0;0;0;0;0;0;0;0;0;0;0
Troides_vandepolli;1;0;0;0;0;0;0;0;0;0;0;0
Zerynthia_polyxena1;1;0;0;0;0;0;0;0;0;0;0;0
Zerynthia_polyxena2;1;0;0;0;0;0;0;0;0;0;0;0
Zerynthia_rumina1;1;0;0;0;0;0;0;0;0;0;0;0
Zerynthia_rumina2;1;0;0;0;0;0;0;0;0;0;0;0
